tourney_id,tourney_date,match_num,winner_id,p1_seed,p1_ht,p1_age,p2_seed,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_bpSaved,p2_bpFaced,p1_rank,p2_rank,p1,p2,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_D,tourney_level_G,tourney_level_M,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,p1_hand_L,p1_hand_R,p1_hand_U,p2_hand_L,p2_hand_R,p2_hand_U
2024-0339,20240101,300,105777,2,188.0,32.6,1,185.0,20.6,3,8.0,2.0,74.0,52.0,40.0,13.0,3.0,3.0,9.0,3.0,95.0,58.0,44.0,16.0,8.0,9.0,14.0,8.0,208029,105777,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,299,208029,1,185.0,20.6,0,185.0,26.4,3,7.0,4.0,72.0,48.0,39.0,11.0,1.0,2.0,5.0,5.0,66.0,35.0,31.0,10.0,5.0,7.0,8.0,39.0,208029,126128,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2024-0339,20240101,298,105777,2,188.0,32.6,0,183.0,29.7,3,10.0,3.0,67.0,45.0,39.0,10.0,6.0,6.0,5.0,1.0,62.0,39.0,24.0,14.0,5.0,7.0,14.0,55.0,105777,111442,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2024-0339,20240101,297,208029,1,185.0,20.6,0,183.0,31.9,3,13.0,0.0,65.0,36.0,31.0,17.0,1.0,1.0,5.0,2.0,77.0,51.0,31.0,16.0,3.0,5.0,8.0,116.0,208029,105902,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,296,126128,0,185.0,26.4,0,183.0,22.8,3,9.0,3.0,73.0,43.0,36.0,14.0,2.0,3.0,3.0,2.0,69.0,37.0,27.0,16.0,5.0,8.0,39.0,44.0,208286,126128,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,295,111442,0,183.0,29.7,0,185.0,37.5,3,8.0,3.0,109.0,67.0,51.0,20.0,6.0,8.0,7.0,2.0,108.0,79.0,58.0,13.0,1.0,3.0,55.0,672.0,111442,104745,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2024-0339,20240101,294,105777,2,188.0,32.6,0,0.0,22.8,3,12.0,2.0,50.0,33.0,26.0,12.0,2.0,2.0,4.0,4.0,57.0,34.0,23.0,8.0,4.0,7.0,14.0,71.0,208014,105777,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-0339,20240101,293,208029,1,185.0,20.6,0,0.0,23.0,3,12.0,2.0,91.0,57.0,43.0,22.0,5.0,6.0,5.0,2.0,108.0,62.0,45.0,23.0,7.0,10.0,8.0,48.0,208029,207686,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,292,105902,0,183.0,31.9,0,193.0,32.1,3,22.0,4.0,91.0,66.0,52.0,13.0,2.0,3.0,15.0,4.0,97.0,56.0,43.0,20.0,10.0,12.0,116.0,51.0,105902,105870,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,291,126128,0,185.0,26.4,0,196.0,24.4,3,23.0,4.0,121.0,77.0,62.0,26.0,13.0,14.0,13.0,6.0,113.0,79.0,64.0,15.0,7.0,9.0,39.0,40.0,200615,126128,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,290,208286,0,183.0,22.8,0,193.0,25.7,3,9.0,3.0,80.0,44.0,37.0,21.0,2.0,4.0,5.0,3.0,87.0,50.0,42.0,17.0,2.0,5.0,44.0,170.0,127760,208286,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,289,104745,0,185.0,37.5,0,178.0,30.6,3,4.0,3.0,46.0,30.0,24.0,10.0,4.0,4.0,1.0,3.0,46.0,35.0,20.0,2.0,2.0,6.0,672.0,102.0,104745,106186,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2024-0339,20240101,288,111442,0,183.0,29.7,4,188.0,25.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,20.0,200005,111442,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2024-0339,20240101,287,208014,0,0.0,22.8,0,183.0,23.2,3,11.0,4.0,104.0,64.0,44.0,23.0,10.0,13.0,6.0,2.0,89.0,61.0,45.0,12.0,1.0,5.0,71.0,78.0,207830,208014,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2024-0339,20240101,286,105777,2,188.0,32.6,0,191.0,25.3,3,6.0,1.0,41.0,26.0,24.0,10.0,3.0,3.0,3.0,3.0,49.0,28.0,17.0,6.0,2.0,6.0,14.0,56.0,105777,127157,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2024-0339,20240101,285,208029,1,185.0,20.6,0,185.0,25.7,3,12.0,0.0,72.0,58.0,43.0,8.0,3.0,5.0,6.0,3.0,74.0,48.0,35.0,13.0,2.0,6.0,8.0,45.0,126845,208029,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2024-0339,20240101,284,207686,0,0.0,23.0,0,0.0,19.6,3,6.0,0.0,52.0,35.0,26.0,13.0,2.0,2.0,3.0,1.0,59.0,37.0,21.0,11.0,4.0,7.0,48.0,90.0,207686,209414,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2024-0339,20240101,283,105902,0,183.0,31.9,0,183.0,25.0,3,7.0,0.0,52.0,36.0,31.0,11.0,1.0,1.0,7.0,1.0,44.0,32.0,27.0,4.0,2.0,4.0,116.0,53.0,200670,105902,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2024-0339,20240101,282,105870,0,193.0,32.1,5,196.0,23.4,3,4.0,0.0,65.0,50.0,35.0,9.0,3.0,4.0,12.0,3.0,72.0,40.0,29.0,14.0,3.0,6.0,51.0,24.0,200624,105870,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
